Job Title,Job Rating,Time,Job Status,Pros,Cons,Company_Name
Gtm,2.0,2023-10-24,"Current employee, more than 1 year","Interesting work. Able to work on a variety of products across the payments, fraud, and identity spaces.",Has struggled to find a product market fit or to learn from past mistakes.,Bolt
Product operations manager,3.0,2023-11-09,Former employee,"Great team, lots of smart people","Leadership needs improvement, lots of costcutting and changes",Bolt
Sre engineer,4.0,2023-10-22,Former employee,Team unity was great at Bolt,"Often changing directions, and had to throw away many projects.",Bolt
Department lead,5.0,2023-05-17,"Current employee, less than 1 year"," 4day work week  Supportive manager  Total autonomy in my role  Smart, supportive team  Founder mentality + the freedom to try new things","While the company had a rough 2022, Bolt has completely transformed in 2023. I think overall sentiment may vary across departments, but I have absolutely loved my experience so far! Only a few cons, but hopefully these will change soon:  No 401k matching  As the company hasn't gone public or been acquired, the RSUs aren't worth much",Bolt
Senior data analyst,5.0,2023-08-23,"Former employee, more than 1 year",Hiring great talents. Great work life Balance. Salary is competitive and 4 day work week is great.,"Due to economic environment, not very stable.",Bolt
Machine learning engineer,1.0,2023-08-01,"Former employee, more than 3 years",4 day work week is nice. Some of the old timer people are very helpful but a lot of the recent additions are not,"Aggressively rude culture. Lots of backstabbing in infighting between groups as rev # are not that big, everyone wants a piece of something",Bolt
Operations manager,5.0,2023-07-06,"Former employee, more than 1 year","Flexibility, ownership, compensation, culture, benefits, career advancement, recognition of good work",Struggle to find product market fit,Bolt
Associate,4.0,2023-06-23,Former employee,not bad and helpful and fair,need more training for both employees and managers,Bolt
Product designer,5.0,2019-11-23,"Current employee, less than 1 year"," I work with people who constantly make me feel energized to do the best I can. There are so many different personalities on the team but everyone is so driven and extremely competent. They are by far the brightest and funniest people I've ever worked with.  Even though the company is full of very young and ambitious people, there really isn't a tech bro culture you would see at many other rising startups in the bay area. Extremely ownership and autonomy is highly encouraged here.  Leadership is highly transparent and you can tell they make it a priority to keep their doors open for any feedback and thoughts. Very competitive comp package and benefits. But besides financial incentives, I truly feel taken care of by the company and everyone on the team on a day to day basis."," The level of autonomy people function with is not for everyone. If you're not a selfstarter and an independent thinker, I can imagine it'd feel challenging to get things done.  Hiring is difficult because the combination of skills & a specific type of fire we look for in people is hard to come by. But that's also what makes the team so great.",Bolt
Sales associate,5.0,2023-04-10,Current employee,Great perks dont have any cons,Can be tough to work at a fastgrowing startup but it can also be exciting.,Bolt
