Job Title,Job Ratings,time,JobStatus,Pros,Cons
Program manager,2.0,"Oct 28, 2010",Former employee,Microsoft has great opportunities for individual growth if you're in the right group,"Middle management is very focussed in pleasing upper management employee comes last
The company claims istslef as the inovation company, but if you have an idea, keep it to yourself no one will listen to you (not your middle management)"
Director,5.0,"Mar 20, 2012",Current employee,"We make big things happen every day. Innovative people, great products, profound impact on society. Smart people, cool technologies, learn something new every day.","It can be demotivating to read the perspectives some people have of Microsoft - which are often based on how Microsoft behaved ten years ago, rather than the company it is today."
Program manager ii,4.0,"Mar 26, 2012",Current employee,"Scope and impact of work
Smart co-workers
Great benefits - parental leave + medical + vacation + medical all paid for
Good pay
Career growth","Some of the managers are incompetent. But have seen them eased out to non-management roles.
Not the highest paymaster - there are other companies in the Seattle area that pay higher"
Software development engineer ii,4.0,"Mar 29, 2012",Current employee,"Good people to work with
Managers who tried to help my career (not always skilled at doing so)
Good work life balance
a chance to work on products that many people will use","very Redmond centric, I was at a small office and we were less important
too much overhead, too few developers managed by too many
you have to sell yourself and your accomplishments to get ahead"
Anonymous employee,4.0,"May 14, 2012",Current employee,"collaborative, cutting edge technology, strong technical leaders, great people and solutions,","politics, beurocracy, slow to innovate, too many layers of management,  focus on process instead of people.  Too many excellent solutions that no ones knows about."
Service manager,2.0,"Jun 19, 2012","Former employee, more than 10 years",salary and benifits are good long term outlook is poor,"Poor executive management, policy of 10% of employees fired every year causes extreme competition and unwillingness for teamwork. It’s a savage environment to endure and burns people out, then management fires people and brings in new meat and starts over again."
Software design engineer,5.0,"Jul 3, 2012","Former employee, more than 3 years","Interesting projects to work on, smart people to work with and great opportunities for personal and professional growth. Work culture varies from team to team but overall it's a great place to work in.",Power struggles at the upper management levels tend to be irritating for the individual contributors. Some PMs are better than others so YMMV.
Software engineer ii,4.0,"May 20, 2013","Former employee, more than 3 years",Good health insurance coverage.  Capable colleagues.  Can get interesting projects to work on if lucky enough.  Single window office if you are senior enough.,Lower overall compensation compared to competitor companies.  Don't like the review system at all.  Don't think the current executives are competitive.
Anonymous employee,3.0,"May 22, 2013","Current employee, more than 10 years","great perks, great salary. coffee is free and great.  great offices, great coworkers","sometimes feels too big.  getting good hardware is possible, but tricky."
Anonymous employee,5.0,"Jun 6, 2013",Current employee,"Microsoft has a great engineering culture. Everything is run by engineers, people here are really smart. It's a lot of fun.",Microsoft can be somewhat political. The org structure can be convoluted and unhelpful. We spend a lot of time making sure the team doesn't get in trouble.
